age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-21 17:20:03,123,2497
75+,2020-09-21 17:20:03,1601,1901
55-74,2020-09-21 17:20:03,2765,5974
35-54,2020-09-21 17:20:03,1610,9295
20-34,2020-09-21 17:20:03,748,9290
