age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-08 17:20:02,121,2317
75+,2020-09-08 17:20:02,1569,1889
55-74,2020-09-08 17:20:02,2735,5818
35-54,2020-09-08 17:20:02,1576,9089
20-34,2020-09-08 17:20:02,723,8886
