age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-01 17:20:02,120,2124
75+,2020-09-01 17:20:02,1555,1870
55-74,2020-09-01 17:20:02,2719,5724
35-54,2020-09-01 17:20:02,1569,8939
20-34,2020-09-01 17:20:02,716,8556
