age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-27 17:20:02,117,2045
75+,2020-08-27 17:20:02,1547,1853
55-74,2020-08-27 17:20:02,2697,5668
35-54,2020-08-27 17:20:02,1551,8818
20-34,2020-08-27 17:20:02,708,8322
