age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-14 17:20:02,124,2418
75+,2020-09-14 17:20:02,1576,1900
55-74,2020-09-14 17:20:02,2741,5881
35-54,2020-09-14 17:20:02,1585,9186
20-34,2020-09-14 17:20:02,737,9086
