age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-21 17:20:03,116,1978
75+,2020-08-21 17:20:03,1536,1831
55-74,2020-08-21 17:20:03,2684,5575
35-54,2020-08-21 17:20:03,1526,8693
20-34,2020-08-21 17:20:03,699,8136
