age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-07 17:20:02,121,2310
75+,2020-09-07 17:20:02,1569,1885
55-74,2020-09-07 17:20:02,2735,5812
35-54,2020-09-07 17:20:02,1576,9078
20-34,2020-09-07 17:20:02,723,8871
