age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-28 17:20:02,118,2065
75+,2020-08-28 17:20:02,1555,1847
55-74,2020-08-28 17:20:02,2701,5690
35-54,2020-08-28 17:20:02,1553,8857
20-34,2020-08-28 17:20:02,712,8380
