age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-15 17:20:02,124,2427
75+,2020-09-15 17:20:02,1583,1895
55-74,2020-09-15 17:20:02,2746,5899
35-54,2020-09-15 17:20:02,1590,9201
20-34,2020-09-15 17:20:02,737,9120
