age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-26 17:20:02,117,2041
75+,2020-08-26 17:20:02,1545,1849
55-74,2020-08-26 17:20:02,2700,5653
35-54,2020-08-26 17:20:02,1548,8793
20-34,2020-08-26 17:20:02,707,8285
