age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-17 17:20:02,123,2449
75+,2020-09-17 17:20:02,1592,1897
55-74,2020-09-17 17:20:02,2748,5938
35-54,2020-09-17 17:20:02,1589,9244
20-34,2020-09-17 17:20:02,740,9187
