age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-04 17:20:02,121,2268
75+,2020-09-04 17:20:02,1567,1875
55-74,2020-09-04 17:20:02,2733,5776
35-54,2020-09-04 17:20:02,1574,9031
20-34,2020-09-04 17:20:02,720,8762
