age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-19 17:20:03,123,2459
75+,2020-09-19 17:20:03,1600,1890
55-74,2020-09-19 17:20:03,2765,5935
35-54,2020-09-19 17:20:03,1609,9239
20-34,2020-09-19 17:20:03,748,9193
