age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-11 17:20:02,124,2368
75+,2020-09-11 17:20:02,1576,1886
55-74,2020-09-11 17:20:02,2741,5844
35-54,2020-09-11 17:20:02,1585,9131
20-34,2020-09-11 17:20:02,737,8971
