age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-15 17:20:01,115,1896
75+,2020-08-15 17:20:01,1530,1801
55-74,2020-08-15 17:20:01,2676,5477
35-54,2020-08-15 17:20:01,1520,8505
20-34,2020-08-15 17:20:01,693,7957
