age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-18 17:20:01,123,2459
75+,2020-09-18 17:20:01,1600,1890
55-74,2020-09-18 17:20:01,2765,5935
35-54,2020-09-18 17:20:01,1609,9239
20-34,2020-09-18 17:20:01,748,9193
