age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-23 17:20:02,124,2520
75+,2020-09-23 17:20:02,1613,1895
55-74,2020-09-23 17:20:02,2769,5995
35-54,2020-09-23 17:20:02,1616,9341
20-34,2020-09-23 17:20:02,751,9358
