age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-10 17:20:02,121,2352
75+,2020-09-10 17:20:02,1572,1892
55-74,2020-09-10 17:20:02,2737,5837
35-54,2020-09-10 17:20:02,1581,9105
20-34,2020-09-10 17:20:02,725,8942
