age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-03 17:20:02,120,2238
75+,2020-09-03 17:20:02,1564,1875
55-74,2020-09-03 17:20:02,2729,5762
35-54,2020-09-03 17:20:02,1573,9001
20-34,2020-09-03 17:20:02,720,8711
