age,etl_timestamp,NO_UNKNOWN,Yes
<20,2020-09-01 17:20:02,2124,120
20-34,2020-09-01 17:20:02,8556,716
35-54,2020-09-01 17:20:02,8939,1569
55-74,2020-09-01 17:20:02,5724,2719
75+,2020-09-01 17:20:02,1870,1555
