racial_identity,count,etl_timestamp
NA,100,2020-09-25 17:20:02
Asian,60,2020-09-25 17:20:02
UNKNOWN,33,2020-09-25 17:20:02
AFRICAN AMERICAN,894,2020-09-25 17:20:02
Other,48,2020-09-25 17:20:02
HISPANIC,162,2020-09-25 17:20:02
White,499,2020-09-25 17:20:02
