racial_identity,count,etl_timestamp
NA,91,2020-09-07 17:20:02
Asian,60,2020-09-07 17:20:02
UNKNOWN,32,2020-09-07 17:20:02
AFRICAN AMERICAN,883,2020-09-07 17:20:02
Other,47,2020-09-07 17:20:02
HISPANIC,159,2020-09-07 17:20:02
White,488,2020-09-07 17:20:02
