racial_identity,count,etl_timestamp
NA,92,2020-08-24 17:20:02
Asian,60,2020-08-24 17:20:02
UNKNOWN,31,2020-08-24 17:20:02
AFRICAN AMERICAN,871,2020-08-24 17:20:02
Other,46,2020-08-24 17:20:02
HISPANIC,154,2020-08-24 17:20:02
White,479,2020-08-24 17:20:02
