racial_identity,count,etl_timestamp
Asian,60,2020-08-15 17:20:01
UNKNOWN,120,2020-08-15 17:20:01
AFRICAN AMERICAN,863,2020-08-15 17:20:01
Other,45,2020-08-15 17:20:01
HISPANIC,151,2020-08-15 17:20:01
White,475,2020-08-15 17:20:01
