racial_identity,count,etl_timestamp
NA,88,2020-08-17 17:20:01
Asian,60,2020-08-17 17:20:01
UNKNOWN,32,2020-08-17 17:20:01
AFRICAN AMERICAN,863,2020-08-17 17:20:01
Other,45,2020-08-17 17:20:01
HISPANIC,151,2020-08-17 17:20:01
White,475,2020-08-17 17:20:01
