racial_identity,count,etl_timestamp
NA,98,2020-09-19 17:20:03
Asian,60,2020-09-19 17:20:03
UNKNOWN,31,2020-09-19 17:20:03
AFRICAN AMERICAN,889,2020-09-19 17:20:03
Other,48,2020-09-19 17:20:03
HISPANIC,160,2020-09-19 17:20:03
White,495,2020-09-19 17:20:03
