age,count,etl_timestamp
20-34,5556,2020-06-05 17:20:02
55-74,6639,2020-06-05 17:20:02
75+,2906,2020-06-05 17:20:02
<20,872,2020-06-05 17:20:02
35-54,7426,2020-06-05 17:20:02
