result_date,etl_timestamp,positive,negative
2020-05-15,2020-08-15 17:20:01,261,1708
2020-07-06,2020-08-15 17:20:01,114,1928
2020-07-23,2020-08-15 17:20:01,220,3915
2020-03-28,2020-08-15 17:20:01,146,472
2020-07-31,2020-08-15 17:20:01,144,2845
2020-07-12,2020-08-15 17:20:01,87,1199
2020-03-15,2020-08-15 17:20:01,NA,30
2020-08-10,2020-08-15 17:20:01,102,2004
2020-04-19,2020-08-15 17:20:01,261,456
2020-04-25,2020-08-15 17:20:01,327,842
2020-04-06,2020-08-15 17:20:01,552,860
2020-06-30,2020-08-15 17:20:01,128,2112
2020-03-30,2020-08-15 17:20:01,240,472
2020-07-29,2020-08-15 17:20:01,153,2613
2020-06-08,2020-08-15 17:20:01,109,1397
2020-05-28,2020-08-15 17:20:01,207,2003
2020-07-15,2020-08-15 17:20:01,160,2931
2020-03-12,2020-08-15 17:20:01,NA,24
2020-04-04,2020-08-15 17:20:01,552,811
2020-07-22,2020-08-15 17:20:01,202,3586
2020-07-08,2020-08-15 17:20:01,121,2975
2020-05-08,2020-08-15 17:20:01,355,1279
2020-05-03,2020-08-15 17:20:01,168,619
2020-06-16,2020-08-15 17:20:01,87,2090
2020-08-07,2020-08-15 17:20:01,100,2590
2020-03-21,2020-08-15 17:20:01,53,354
2020-05-16,2020-08-15 17:20:01,164,1366
2020-08-14,2020-08-15 17:20:01,80,2628
2020-04-15,2020-08-15 17:20:01,603,874
2020-03-13,2020-08-15 17:20:01,NA,69
2020-06-09,2020-08-15 17:20:01,141,1968
