result_date,etl_timestamp,positive,negative
2020-05-10,2020-07-16 17:20:02,123,778
2020-03-31,2020-07-16 17:20:02,363,742
2020-07-15,2020-07-16 17:20:02,59,1791
2020-03-12,2020-07-16 17:20:02,NA,21
2020-06-21,2020-07-16 17:20:02,66,1086
2020-06-08,2020-07-16 17:20:02,112,1402
2020-06-30,2020-07-16 17:20:02,130,2119
2020-03-22,2020-07-16 17:20:02,51,165
2020-04-25,2020-07-16 17:20:02,329,859
2020-05-21,2020-07-16 17:20:02,318,2157
2020-04-12,2020-07-16 17:20:02,418,709
2020-04-30,2020-07-16 17:20:02,436,1437
2020-05-03,2020-07-16 17:20:02,169,636
2020-04-07,2020-07-16 17:20:02,513,793
2020-06-17,2020-07-16 17:20:02,145,2474
2020-05-14,2020-07-16 17:20:02,263,1781
2020-04-27,2020-07-16 17:20:02,429,842
2020-03-23,2020-07-16 17:20:02,72,311
2020-07-05,2020-07-16 17:20:02,80,1193
2020-06-16,2020-07-16 17:20:02,89,2182
2020-07-10,2020-07-16 17:20:02,106,1871
2020-03-17,2020-07-16 17:20:02,16,160
2020-05-04,2020-07-16 17:20:02,375,819
2020-03-28,2020-07-16 17:20:02,146,473
2020-05-09,2020-07-16 17:20:02,225,1187
2020-06-01,2020-07-16 17:20:02,104,1251
2020-04-04,2020-07-16 17:20:02,553,822
2020-05-16,2020-07-16 17:20:02,166,1367
2020-06-09,2020-07-16 17:20:02,142,1970
2020-07-14,2020-07-16 17:20:02,124,2354
2020-03-13,2020-07-16 17:20:02,NA,47
2020-06-05,2020-07-16 17:20:02,122,1463
2020-06-22,2020-07-16 17:20:02,109,1570
2020-05-13,2020-07-16 17:20:02,245,1496
2020-03-29,2020-07-16 17:20:02,215,487
2020-05-29,2020-07-16 17:20:02,206,1970
2020-07-08,2020-07-16 17:20:02,118,3050
2020-05-20,2020-07-16 17:20:02,194,1706
2020-03-26,2020-07-16 17:20:02,194,573
2020-03-08,2020-07-16 17:20:02,NA,11
2020-04-23,2020-07-16 17:20:02,573,1235
2020-05-23,2020-07-16 17:20:02,196,1543
2020-04-15,2020-07-16 17:20:02,603,872
2020-06-19,2020-07-16 17:20:02,120,2111
2020-05-18,2020-07-16 17:20:02,184,894
2020-06-14,2020-07-16 17:20:02,60,1250
2020-04-21,2020-07-16 17:20:02,508,924
2020-06-26,2020-07-16 17:20:02,84,1570
2020-04-28,2020-07-16 17:20:02,473,1147
2020-04-03,2020-07-16 17:20:02,512,911
2020-07-03,2020-07-16 17:20:02,129,2583
2020-05-24,2020-07-16 17:20:02,178,1413
2020-04-17,2020-07-16 17:20:02,601,1028
2020-06-06,2020-07-16 17:20:02,84,1165
2020-04-09,2020-07-16 17:20:02,583,855
2020-06-24,2020-07-16 17:20:02,130,2094
2020-07-07,2020-07-16 17:20:02,139,2413
2020-03-15,2020-07-16 17:20:02,NA,30
2020-07-12,2020-07-16 17:20:02,86,1200
2020-05-26,2020-07-16 17:20:02,223,1778
2020-04-18,2020-07-16 17:20:02,275,583
2020-06-03,2020-07-16 17:20:02,148,1634
2020-05-08,2020-07-16 17:20:02,358,1295
2020-06-28,2020-07-16 17:20:02,95,1594
2020-07-09,2020-07-16 17:20:02,110,2391
2020-03-18,2020-07-16 17:20:02,8,170
2020-04-11,2020-07-16 17:20:02,416,679
2020-06-10,2020-07-16 17:20:02,114,2129
2020-03-20,2020-07-16 17:20:02,32,173
2020-04-05,2020-07-16 17:20:02,411,662
2020-03-21,2020-07-16 17:20:02,53,340
2020-05-01,2020-07-16 17:20:02,419,1124
2020-05-07,2020-07-16 17:20:02,313,1415
2020-05-02,2020-07-16 17:20:02,307,914
2020-03-24,2020-07-16 17:20:02,117,481
2020-06-23,2020-07-16 17:20:02,154,2250
2020-04-10,2020-07-16 17:20:02,585,924
2020-06-11,2020-07-16 17:20:02,104,1592
2020-04-19,2020-07-16 17:20:02,261,467
2020-07-16,2020-07-16 17:20:02,8,327
2020-06-25,2020-07-16 17:20:02,123,2145
2020-05-11,2020-07-16 17:20:02,249,884
2020-04-20,2020-07-16 17:20:02,494,668
2020-05-25,2020-07-16 17:20:02,128,1304
2020-04-02,2020-07-16 17:20:02,364,709
2020-07-02,2020-07-16 17:20:02,117,2015
2020-05-30,2020-07-16 17:20:02,129,1535
2020-04-22,2020-07-16 17:20:02,532,1027
