result_date,etl_timestamp,positive,negative
2020-06-17,2020-09-09 17:20:02,145,2423
2020-08-09,2020-09-09 17:20:02,113,2608
2020-03-19,2020-09-09 17:20:02,32,273
2020-04-12,2020-09-09 17:20:02,418,692
2020-08-17,2020-09-09 17:20:02,88,2171
2020-07-17,2020-09-09 17:20:02,200,2992
2020-05-21,2020-09-09 17:20:02,319,2142
2020-06-04,2020-09-09 17:20:02,85,1341
2020-06-28,2020-09-09 17:20:02,95,1604
2020-05-10,2020-09-09 17:20:02,123,773
2020-07-27,2020-09-09 17:20:02,165,1757
2020-04-01,2020-09-09 17:20:02,421,746
2020-05-04,2020-09-09 17:20:02,373,807
2020-08-27,2020-09-09 17:20:02,148,2820
2020-05-22,2020-09-09 17:20:02,203,1731
2020-07-05,2020-09-09 17:20:02,80,1195
2020-04-14,2020-09-09 17:20:02,381,509
2020-08-15,2020-09-09 17:20:02,106,3027
2020-08-05,2020-09-09 17:20:02,140,2774
2020-03-23,2020-09-09 17:20:02,71,311
2020-09-07,2020-09-09 17:20:02,42,1546
2020-04-23,2020-09-09 17:20:02,574,1189
2020-05-06,2020-09-09 17:20:02,361,1530
2020-06-13,2020-09-09 17:20:02,99,1773
2020-05-31,2020-09-09 17:20:02,112,1418
2020-06-24,2020-09-09 17:20:02,130,2042
2020-05-11,2020-09-09 17:20:02,246,889
2020-06-19,2020-09-09 17:20:02,121,2122
2020-05-20,2020-09-09 17:20:02,194,1704
2020-07-16,2020-09-09 17:20:02,146,2671
2020-08-03,2020-09-09 17:20:02,90,1688
2020-03-25,2020-09-09 17:20:02,169,657
2020-08-08,2020-09-09 17:20:02,94,2350
2020-03-20,2020-09-09 17:20:02,32,177
2020-07-21,2020-09-09 17:20:02,156,2676
2020-06-18,2020-09-09 17:20:02,100,2113
2020-04-02,2020-09-09 17:20:02,362,695
2020-07-26,2020-09-09 17:20:02,93,2253
2020-04-28,2020-09-09 17:20:02,472,1128
2020-09-02,2020-09-09 17:20:02,125,2947
2020-05-25,2020-09-09 17:20:02,129,1292
2020-05-16,2020-09-09 17:20:02,166,1370
2020-04-06,2020-09-09 17:20:02,555,860
2020-08-23,2020-09-09 17:20:02,59,1819
2020-04-27,2020-09-09 17:20:02,431,826
2020-09-03,2020-09-09 17:20:02,99,2728
2020-06-07,2020-09-09 17:20:02,89,1108
2020-05-09,2020-09-09 17:20:02,226,1153
2020-06-15,2020-09-09 17:20:02,95,1821
2020-05-14,2020-09-09 17:20:02,264,1780
2020-07-24,2020-09-09 17:20:02,213,3331
2020-07-07,2020-09-09 17:20:02,139,2388
2020-03-27,2020-09-09 17:20:02,223,772
2020-08-01,2020-09-09 17:20:02,67,2051
2020-04-18,2020-09-09 17:20:02,275,575
2020-08-11,2020-09-09 17:20:02,166,3291
2020-05-02,2020-09-09 17:20:02,307,885
2020-08-29,2020-09-09 17:20:02,122,2606
2020-06-02,2020-09-09 17:20:02,133,1522
2020-06-26,2020-09-09 17:20:02,88,1504
2020-08-24,2020-09-09 17:20:02,82,2010
2020-04-05,2020-09-09 17:20:02,411,663
2020-04-21,2020-09-09 17:20:02,509,921
2020-09-09,2020-09-09 17:20:02,NA,230
2020-06-10,2020-09-09 17:20:02,114,2057
2020-05-17,2020-09-09 17:20:02,142,1178
2020-06-27,2020-09-09 17:20:02,112,1560
2020-07-23,2020-09-09 17:20:02,220,3925
2020-05-18,2020-09-09 17:20:02,182,902
2020-04-08,2020-09-09 17:20:02,579,920
2020-08-21,2020-09-09 17:20:02,92,2901
2020-04-15,2020-09-09 17:20:02,607,874
2020-08-14,2020-09-09 17:20:02,129,3182
2020-08-28,2020-09-09 17:20:02,128,3109
2020-05-03,2020-09-09 17:20:02,169,619
2020-05-28,2020-09-09 17:20:02,210,2005
2020-07-08,2020-09-09 17:20:02,121,2981
2020-03-13,2020-09-09 17:20:02,NA,50
2020-07-14,2020-09-09 17:20:02,144,2322
2020-06-09,2020-09-09 17:20:02,142,1969
2020-06-22,2020-09-09 17:20:02,108,1566
2020-06-30,2020-09-09 17:20:02,129,2114
2020-08-25,2020-09-09 17:20:02,104,2966
2020-04-04,2020-09-09 17:20:02,553,811
2020-08-07,2020-09-09 17:20:02,102,2598
2020-03-21,2020-09-09 17:20:02,54,351
2020-04-20,2020-09-09 17:20:02,493,626
2020-08-16,2020-09-09 17:20:02,95,2240
2020-04-13,2020-09-09 17:20:02,254,354
2020-05-08,2020-09-09 17:20:02,356,1279
2020-05-26,2020-09-09 17:20:02,222,1775
2020-03-28,2020-09-09 17:20:02,146,472
2020-07-31,2020-09-09 17:20:02,149,2853
