result_date,etl_timestamp,negative,positive
2020-04-02,2020-07-06 17:20:02,708,364
2020-04-29,2020-07-06 17:20:02,1631,523
2020-06-18,2020-07-06 17:20:02,2124,100
2020-07-04,2020-07-06 17:20:02,1321,47
2020-04-13,2020-07-06 17:20:02,357,253
2020-03-17,2020-07-06 17:20:02,160,16
2020-04-20,2020-07-06 17:20:02,668,495
2020-06-13,2020-07-06 17:20:02,1772,99
2020-06-27,2020-07-06 17:20:02,1561,103
2020-05-19,2020-07-06 17:20:02,1501,258
2020-06-20,2020-07-06 17:20:02,2086,123
2020-04-08,2020-07-06 17:20:02,923,579
2020-04-19,2020-07-06 17:20:02,463,261
2020-05-27,2020-07-06 17:20:02,1952,190
2020-04-01,2020-07-06 17:20:02,749,421
2020-04-22,2020-07-06 17:20:02,1025,531
2020-03-25,2020-07-06 17:20:02,667,171
2020-05-21,2020-07-06 17:20:02,2156,319
2020-06-23,2020-07-06 17:20:02,2250,155
2020-03-30,2020-07-06 17:20:02,463,241
2020-05-12,2020-07-06 17:20:02,1359,247
2020-06-21,2020-07-06 17:20:02,1085,65
2020-03-14,2020-07-06 17:20:02,49,6
2020-04-16,2020-07-06 17:20:02,774,523
2020-05-25,2020-07-06 17:20:02,1304,128
2020-05-17,2020-07-06 17:20:02,1174,142
2020-04-05,2020-07-06 17:20:02,662,411
2020-06-02,2020-07-06 17:20:02,1525,133
2020-06-25,2020-07-06 17:20:02,2143,119
2020-03-18,2020-07-06 17:20:02,170,8
2020-06-15,2020-07-06 17:20:02,1832,95
2020-07-06,2020-07-06 17:20:02,99,6
2020-04-14,2020-07-06 17:20:02,517,381
2020-05-22,2020-07-06 17:20:02,1751,204
2020-05-15,2020-07-06 17:20:02,1724,264
2020-04-06,2020-07-06 17:20:02,867,554
2020-05-02,2020-07-06 17:20:02,913,308
2020-05-28,2020-07-06 17:20:02,2025,207
2020-03-21,2020-07-06 17:20:02,340,53
2020-06-29,2020-07-06 17:20:02,2109,126
2020-06-07,2020-07-06 17:20:02,1108,90
2020-06-06,2020-07-06 17:20:02,1165,84
2020-06-10,2020-07-06 17:20:02,2128,113
2020-05-11,2020-07-06 17:20:02,883,249
2020-05-05,2020-07-06 17:20:02,1263,367
2020-05-08,2020-07-06 17:20:02,1294,358
2020-06-11,2020-07-06 17:20:02,1592,103
2020-03-27,2020-07-06 17:20:02,776,223
2020-05-30,2020-07-06 17:20:02,1535,129
2020-03-24,2020-07-06 17:20:02,481,116
2020-04-26,2020-07-06 17:20:02,623,207
2020-05-23,2020-07-06 17:20:02,1543,196
2020-07-02,2020-07-06 17:20:02,1998,110
2020-05-01,2020-07-06 17:20:02,1121,419
2020-05-20,2020-07-06 17:20:02,1705,195
2020-04-24,2020-07-06 17:20:02,1152,491
2020-04-17,2020-07-06 17:20:02,1026,601
2020-07-01,2020-07-06 17:20:02,2329,148
2020-06-22,2020-07-06 17:20:02,1570,108
2020-03-11,2020-07-06 17:20:02,12,NA
2020-06-28,2020-07-06 17:20:02,1594,93
2020-05-31,2020-07-06 17:20:02,1426,113
2020-04-10,2020-07-06 17:20:02,924,584
2020-06-12,2020-07-06 17:20:02,1862,105
2020-05-18,2020-07-06 17:20:02,894,184
2020-05-26,2020-07-06 17:20:02,1778,222
2020-04-11,2020-07-06 17:20:02,679,416
2020-05-04,2020-07-06 17:20:02,817,376
2020-05-10,2020-07-06 17:20:02,778,123
2020-03-31,2020-07-06 17:20:02,742,363
2020-03-12,2020-07-06 17:20:02,21,NA
2020-06-08,2020-07-06 17:20:02,1402,113
2020-06-30,2020-07-06 17:20:02,2117,125
2020-03-22,2020-07-06 17:20:02,165,51
2020-04-25,2020-07-06 17:20:02,859,329
2020-04-12,2020-07-06 17:20:02,709,419
2020-04-30,2020-07-06 17:20:02,1433,436
2020-05-03,2020-07-06 17:20:02,635,169
2020-04-07,2020-07-06 17:20:02,793,513
2020-06-17,2020-07-06 17:20:02,2473,145
2020-05-14,2020-07-06 17:20:02,1780,263
2020-04-27,2020-07-06 17:20:02,842,429
2020-03-23,2020-07-06 17:20:02,311,72
2020-07-05,2020-07-06 17:20:02,780,44
2020-06-16,2020-07-06 17:20:02,2182,89
2020-03-28,2020-07-06 17:20:02,473,146
2020-05-09,2020-07-06 17:20:02,1187,225
2020-06-01,2020-07-06 17:20:02,1250,103
2020-04-04,2020-07-06 17:20:02,822,553
2020-05-16,2020-07-06 17:20:02,1365,165
2020-06-09,2020-07-06 17:20:02,1970,142
2020-03-13,2020-07-06 17:20:02,47,NA
2020-06-05,2020-07-06 17:20:02,1460,119
2020-05-13,2020-07-06 17:20:02,1495,246
2020-03-29,2020-07-06 17:20:02,487,215
2020-05-29,2020-07-06 17:20:02,1970,205
2020-03-26,2020-07-06 17:20:02,573,194
2020-03-08,2020-07-06 17:20:02,11,NA
2020-04-23,2020-07-06 17:20:02,1235,573
2020-04-15,2020-07-06 17:20:02,870,601
2020-06-19,2020-07-06 17:20:02,2111,118
2020-06-14,2020-07-06 17:20:02,1250,59
2020-04-21,2020-07-06 17:20:02,923,510
2020-06-26,2020-07-06 17:20:02,1568,80
2020-04-28,2020-07-06 17:20:02,1145,473
2020-04-03,2020-07-06 17:20:02,910,512
2020-07-03,2020-07-06 17:20:02,2565,114
2020-05-24,2020-07-06 17:20:02,1413,178
2020-04-09,2020-07-06 17:20:02,855,583
2020-06-24,2020-07-06 17:20:02,2090,128
2020-03-15,2020-07-06 17:20:02,30,NA
2020-04-18,2020-07-06 17:20:02,583,275
2020-06-03,2020-07-06 17:20:02,1633,146
2020-03-20,2020-07-06 17:20:02,173,32
2020-05-07,2020-07-06 17:20:02,1413,313
2020-05-06,2020-07-06 17:20:02,1553,357
2020-03-19,2020-07-06 17:20:02,267,32
2020-06-04,2020-07-06 17:20:02,1345,87
2020-03-16,2020-07-06 17:20:02,84,7
