result_date,etl_timestamp,positive,negative
2020-04-11,2020-06-17 17:20:02,417,674
2020-05-04,2020-06-17 17:20:02,376,813
2020-05-10,2020-06-17 17:20:02,123,772
2020-03-31,2020-06-17 17:20:02,363,738
2020-03-12,2020-06-17 17:20:02,NA,20
2020-06-08,2020-06-17 17:20:02,113,1398
2020-03-22,2020-06-17 17:20:02,51,158
2020-04-25,2020-06-17 17:20:02,331,857
2020-05-21,2020-06-17 17:20:02,317,2128
2020-04-12,2020-06-17 17:20:02,418,704
2020-04-30,2020-06-17 17:20:02,436,1426
2020-05-03,2020-06-17 17:20:02,167,622
2020-04-07,2020-06-17 17:20:02,513,783
2020-06-17,2020-06-17 17:20:02,16,273
2020-05-14,2020-06-17 17:20:02,263,1771
2020-04-27,2020-06-17 17:20:02,430,839
2020-03-23,2020-06-17 17:20:02,72,308
2020-06-16,2020-06-17 17:20:02,44,1446
2020-03-17,2020-06-17 17:20:02,16,159
2020-03-28,2020-06-17 17:20:02,145,470
2020-05-09,2020-06-17 17:20:02,225,1177
2020-06-01,2020-06-17 17:20:02,104,1235
2020-04-04,2020-06-17 17:20:02,553,815
2020-05-16,2020-06-17 17:20:02,165,1356
2020-06-09,2020-06-17 17:20:02,144,1958
2020-03-13,2020-06-17 17:20:02,NA,47
2020-06-05,2020-06-17 17:20:02,120,1446
2020-05-13,2020-06-17 17:20:02,246,1484
2020-03-29,2020-06-17 17:20:02,215,486
2020-05-29,2020-06-17 17:20:02,202,1957
2020-05-20,2020-06-17 17:20:02,193,1697
2020-03-26,2020-06-17 17:20:02,194,569
2020-03-08,2020-06-17 17:20:02,NA,11
2020-04-23,2020-06-17 17:20:02,573,1229
2020-05-23,2020-06-17 17:20:02,193,1535
2020-04-15,2020-06-17 17:20:02,603,872
2020-05-18,2020-06-17 17:20:02,184,888
2020-06-14,2020-06-17 17:20:02,56,1245
2020-04-21,2020-06-17 17:20:02,509,921
2020-04-28,2020-06-17 17:20:02,473,1146
2020-04-03,2020-06-17 17:20:02,511,901
2020-05-24,2020-06-17 17:20:02,177,1409
2020-04-17,2020-06-17 17:20:02,601,1023
2020-06-06,2020-06-17 17:20:02,86,1156
2020-04-09,2020-06-17 17:20:02,583,851
2020-03-15,2020-06-17 17:20:02,NA,30
2020-05-26,2020-06-17 17:20:02,216,1772
2020-04-18,2020-06-17 17:20:02,274,582
2020-06-03,2020-06-17 17:20:02,147,1625
2020-05-08,2020-06-17 17:20:02,356,1285
2020-03-18,2020-06-17 17:20:02,8,170
2020-06-10,2020-06-17 17:20:02,111,2112
2020-03-20,2020-06-17 17:20:02,32,173
2020-04-05,2020-06-17 17:20:02,406,653
2020-03-21,2020-06-17 17:20:02,53,337
2020-05-01,2020-06-17 17:20:02,417,1105
2020-05-07,2020-06-17 17:20:02,313,1399
2020-05-02,2020-06-17 17:20:02,308,897
2020-03-24,2020-06-17 17:20:02,115,477
2020-04-10,2020-06-17 17:20:02,581,921
2020-06-11,2020-06-17 17:20:02,105,1581
2020-04-19,2020-06-17 17:20:02,263,458
2020-05-11,2020-06-17 17:20:02,248,881
2020-04-20,2020-06-17 17:20:02,494,664
2020-05-25,2020-06-17 17:20:02,126,1301
2020-04-02,2020-06-17 17:20:02,363,703
2020-05-30,2020-06-17 17:20:02,126,1525
2020-04-22,2020-06-17 17:20:02,530,1022
2020-04-14,2020-06-17 17:20:02,383,515
2020-05-31,2020-06-17 17:20:02,113,1421
2020-05-06,2020-06-17 17:20:02,355,1544
2020-03-19,2020-06-17 17:20:02,32,268
2020-05-17,2020-06-17 17:20:02,142,1167
2020-05-28,2020-06-17 17:20:02,209,2015
2020-06-04,2020-06-17 17:20:02,88,1334
2020-03-30,2020-06-17 17:20:02,241,455
2020-04-26,2020-06-17 17:20:02,204,620
2020-05-15,2020-06-17 17:20:02,264,1709
2020-06-12,2020-06-17 17:20:02,96,1855
2020-03-16,2020-06-17 17:20:02,7,84
2020-03-27,2020-06-17 17:20:02,222,769
2020-06-15,2020-06-17 17:20:02,80,1738
2020-04-08,2020-06-17 17:20:02,578,911
2020-04-24,2020-06-17 17:20:02,491,1147
2020-04-29,2020-06-17 17:20:02,522,1626
2020-04-13,2020-06-17 17:20:02,254,354
2020-06-13,2020-06-17 17:20:02,97,1764
2020-05-19,2020-06-17 17:20:02,260,1492
2020-05-27,2020-06-17 17:20:02,191,1939
2020-04-01,2020-06-17 17:20:02,421,746
2020-03-25,2020-06-17 17:20:02,171,659
2020-05-12,2020-06-17 17:20:02,248,1352
2020-03-14,2020-06-17 17:20:02,6,49
2020-04-16,2020-06-17 17:20:02,521,772
2020-06-02,2020-06-17 17:20:02,130,1517
2020-05-22,2020-06-17 17:20:02,205,1737
2020-04-06,2020-06-17 17:20:02,550,862
2020-06-07,2020-06-17 17:20:02,90,1107
2020-05-05,2020-06-17 17:20:02,364,1252
2020-03-11,2020-06-17 17:20:02,NA,13
