result_date,etl_timestamp,negative,positive
2020-06-13,2020-07-01 17:20:02,1772,99
2020-06-27,2020-07-01 17:20:02,1559,103
2020-05-19,2020-07-01 17:20:02,1501,259
2020-06-20,2020-07-01 17:20:02,2083,123
2020-04-08,2020-07-01 17:20:02,923,579
2020-04-19,2020-07-01 17:20:02,463,261
2020-05-27,2020-07-01 17:20:02,1952,190
2020-04-01,2020-07-01 17:20:02,749,421
2020-04-22,2020-07-01 17:20:02,1025,530
2020-03-25,2020-07-01 17:20:02,667,171
2020-05-21,2020-07-01 17:20:02,2154,318
2020-06-23,2020-07-01 17:20:02,2249,152
2020-03-30,2020-07-01 17:20:02,463,241
2020-05-12,2020-07-01 17:20:02,1358,249
2020-06-21,2020-07-01 17:20:02,1085,63
2020-04-29,2020-07-01 17:20:02,1631,523
2020-03-14,2020-07-01 17:20:02,49,6
2020-04-16,2020-07-01 17:20:02,774,523
2020-05-25,2020-07-01 17:20:02,1303,128
2020-05-17,2020-07-01 17:20:02,1174,142
2020-04-05,2020-07-01 17:20:02,662,411
2020-06-02,2020-07-01 17:20:02,1525,133
2020-06-25,2020-07-01 17:20:02,2127,117
2020-03-18,2020-07-01 17:20:02,170,8
2020-06-15,2020-07-01 17:20:02,1832,95
2020-04-14,2020-07-01 17:20:02,517,380
2020-05-22,2020-07-01 17:20:02,1748,205
2020-05-15,2020-07-01 17:20:02,1723,264
2020-04-06,2020-07-01 17:20:02,867,554
2020-05-02,2020-07-01 17:20:02,913,308
2020-04-13,2020-07-01 17:20:02,357,253
2020-05-28,2020-07-01 17:20:02,2025,207
2020-03-21,2020-07-01 17:20:02,340,53
2020-06-29,2020-07-01 17:20:02,2019,110
2020-06-07,2020-07-01 17:20:02,1108,90
2020-06-06,2020-07-01 17:20:02,1165,84
2020-06-10,2020-07-01 17:20:02,2128,113
2020-05-11,2020-07-01 17:20:02,883,248
2020-05-05,2020-07-01 17:20:02,1263,365
2020-05-08,2020-07-01 17:20:02,1294,358
2020-06-11,2020-07-01 17:20:02,1591,103
