result_date,etl_timestamp,positive,negative
2020-08-09,2020-08-21 17:20:03,111,2608
2020-06-17,2020-08-21 17:20:03,145,2419
2020-03-19,2020-08-21 17:20:03,32,274
2020-04-12,2020-08-21 17:20:03,418,691
2020-08-17,2020-08-21 17:20:03,83,2074
2020-07-17,2020-08-21 17:20:03,199,2967
2020-03-10,2020-08-21 17:20:03,NA,8
2020-05-21,2020-08-21 17:20:03,319,2142
2020-06-04,2020-08-21 17:20:03,85,1341
2020-06-28,2020-08-21 17:20:03,95,1604
2020-05-10,2020-08-21 17:20:03,123,773
2020-07-27,2020-08-21 17:20:03,164,1750
2020-04-01,2020-08-21 17:20:03,421,746
2020-05-04,2020-08-21 17:20:03,373,806
2020-05-22,2020-08-21 17:20:03,203,1729
2020-07-05,2020-08-21 17:20:03,80,1194
2020-04-14,2020-08-21 17:20:03,381,506
2020-08-15,2020-08-21 17:20:03,95,2933
2020-08-05,2020-08-21 17:20:03,133,2766
2020-03-23,2020-08-21 17:20:03,70,311
2020-04-23,2020-08-21 17:20:03,573,1188
2020-05-06,2020-08-21 17:20:03,359,1525
2020-06-13,2020-08-21 17:20:03,99,1767
2020-05-31,2020-08-21 17:20:03,112,1418
2020-06-24,2020-08-21 17:20:03,130,2042
2020-06-23,2020-08-21 17:20:03,155,2172
2020-06-15,2020-08-21 17:20:03,95,1816
2020-06-16,2020-08-21 17:20:03,88,2090
2020-05-07,2020-08-21 17:20:03,312,1408
2020-03-16,2020-08-21 17:20:03,7,85
2020-07-11,2020-08-21 17:20:03,99,1388
2020-08-14,2020-08-21 17:20:03,121,3036
2020-04-15,2020-08-21 17:20:03,607,874
2020-07-06,2020-08-21 17:20:03,115,1928
2020-05-23,2020-08-21 17:20:03,196,1535
2020-04-26,2020-08-21 17:20:03,207,594
2020-04-07,2020-08-21 17:20:03,513,755
2020-05-17,2020-08-21 17:20:03,142,1177
2020-06-27,2020-08-21 17:20:03,110,1561
2020-06-03,2020-08-21 17:20:03,147,1622
2020-07-18,2020-08-21 17:20:03,118,2414
2020-08-16,2020-08-21 17:20:03,91,2172
2020-04-13,2020-08-21 17:20:03,254,354
2020-04-03,2020-08-21 17:20:03,512,889
2020-07-25,2020-08-21 17:20:03,141,2715
