result_date,etl_timestamp,positive,negative
2020-05-18,2020-07-23 17:20:01,184,894
2020-05-26,2020-07-23 17:20:01,223,1778
2020-04-11,2020-07-23 17:20:01,416,679
2020-05-04,2020-07-23 17:20:01,375,819
2020-05-10,2020-07-23 17:20:01,123,778
2020-03-31,2020-07-23 17:20:01,363,742
2020-07-15,2020-07-23 17:20:01,158,2922
2020-03-12,2020-07-23 17:20:01,NA,21
2020-06-21,2020-07-23 17:20:01,66,1086
2020-06-08,2020-07-23 17:20:01,112,1402
2020-06-30,2020-07-23 17:20:01,130,2120
2020-03-22,2020-07-23 17:20:01,51,165
2020-04-25,2020-07-23 17:20:01,329,859
2020-05-21,2020-07-23 17:20:01,319,2157
2020-04-12,2020-07-23 17:20:01,418,709
2020-04-30,2020-07-23 17:20:01,436,1437
2020-05-03,2020-07-23 17:20:01,169,636
2020-04-07,2020-07-23 17:20:01,513,793
2020-06-17,2020-07-23 17:20:01,145,2474
2020-05-14,2020-07-23 17:20:01,263,1781
2020-04-27,2020-07-23 17:20:01,429,842
2020-03-23,2020-07-23 17:20:01,72,311
2020-07-05,2020-07-23 17:20:01,80,1193
2020-06-16,2020-07-23 17:20:01,89,2182
2020-07-10,2020-07-23 17:20:01,109,1872
2020-03-17,2020-07-23 17:20:01,16,160
2020-03-28,2020-07-23 17:20:01,146,473
2020-05-09,2020-07-23 17:20:01,225,1187
2020-06-01,2020-07-23 17:20:01,104,1251
2020-04-04,2020-07-23 17:20:01,552,822
2020-05-16,2020-07-23 17:20:01,167,1367
2020-06-09,2020-07-23 17:20:01,142,1970
2020-07-14,2020-07-23 17:20:01,139,2359
2020-03-13,2020-07-23 17:20:01,NA,47
2020-07-17,2020-07-23 17:20:01,195,3039
2020-06-05,2020-07-23 17:20:01,122,1463
2020-06-22,2020-07-23 17:20:01,109,1570
2020-05-13,2020-07-23 17:20:01,246,1496
2020-03-29,2020-07-23 17:20:01,215,487
2020-05-29,2020-07-23 17:20:01,206,1970
2020-07-08,2020-07-23 17:20:01,120,3051
2020-05-20,2020-07-23 17:20:01,194,1706
2020-03-26,2020-07-23 17:20:01,194,573
2020-03-08,2020-07-23 17:20:01,NA,11
2020-07-19,2020-07-23 17:20:01,103,1978
2020-04-23,2020-07-23 17:20:01,573,1235
2020-05-23,2020-07-23 17:20:01,196,1543
2020-04-15,2020-07-23 17:20:01,602,872
2020-06-19,2020-07-23 17:20:01,120,2111
2020-06-14,2020-07-23 17:20:01,60,1250
2020-04-21,2020-07-23 17:20:01,508,924
2020-07-23,2020-07-23 17:20:01,10,467
2020-06-26,2020-07-23 17:20:01,84,1570
2020-04-28,2020-07-23 17:20:01,473,1147
2020-04-03,2020-07-23 17:20:01,512,911
2020-07-03,2020-07-23 17:20:01,129,2585
2020-05-24,2020-07-23 17:20:01,178,1413
2020-04-17,2020-07-23 17:20:01,600,1028
2020-06-06,2020-07-23 17:20:01,84,1165
2020-04-09,2020-07-23 17:20:01,583,855
2020-07-21,2020-07-23 17:20:01,138,2743
2020-06-24,2020-07-23 17:20:01,130,2094
2020-07-07,2020-07-23 17:20:01,139,2417
2020-03-15,2020-07-23 17:20:01,NA,30
2020-07-12,2020-07-23 17:20:01,88,1200
2020-04-18,2020-07-23 17:20:01,275,583
2020-06-03,2020-07-23 17:20:01,148,1634
2020-05-08,2020-07-23 17:20:01,358,1295
2020-06-28,2020-07-23 17:20:01,95,1594
2020-07-09,2020-07-23 17:20:01,112,2392
2020-03-18,2020-07-23 17:20:01,8,170
2020-06-10,2020-07-23 17:20:01,114,2129
2020-03-20,2020-07-23 17:20:01,33,173
2020-04-05,2020-07-23 17:20:01,411,662
