result_date,etl_timestamp,negative,positive
2020-06-30,2020-07-02 17:33:32,2117,113
2020-06-03,2020-07-02 17:33:32,1633,146
2020-03-21,2020-07-02 17:33:32,340,53
2020-05-01,2020-07-02 17:33:32,1121,419
2020-05-07,2020-07-02 17:33:32,1413,313
2020-04-15,2020-07-02 17:33:32,870,603
2020-05-02,2020-07-02 17:33:32,913,308
2020-03-24,2020-07-02 17:33:32,481,116
2020-06-16,2020-07-02 17:33:32,2182,89
2020-06-23,2020-07-02 17:33:32,2249,156
2020-04-10,2020-07-02 17:33:32,924,584
2020-06-11,2020-07-02 17:33:32,1591,103
2020-05-14,2020-07-02 17:33:32,1780,263
2020-03-20,2020-07-02 17:33:32,173,32
2020-04-19,2020-07-02 17:33:32,463,262
2020-03-29,2020-07-02 17:33:32,487,215
2020-05-24,2020-07-02 17:33:32,1412,178
2020-06-25,2020-07-02 17:33:32,2142,118
2020-05-11,2020-07-02 17:33:32,883,248
2020-04-20,2020-07-02 17:33:32,668,494
2020-05-16,2020-07-02 17:33:32,1364,165
2020-06-26,2020-07-02 17:33:32,1567,80
2020-05-25,2020-07-02 17:33:32,1303,128
2020-04-18,2020-07-02 17:33:32,583,275
2020-04-02,2020-07-02 17:33:32,708,364
2020-07-02,2020-07-02 17:33:32,341,13
2020-06-19,2020-07-02 17:33:32,2107,118
2020-04-11,2020-07-02 17:33:32,679,416
2020-06-24,2020-07-02 17:33:32,2086,129
2020-05-30,2020-07-02 17:33:32,1535,129
2020-03-23,2020-07-02 17:33:32,311,73
2020-04-23,2020-07-02 17:33:32,1235,573
2020-04-22,2020-07-02 17:33:32,1025,530
2020-04-14,2020-07-02 17:33:32,517,380
2020-05-31,2020-07-02 17:33:32,1424,113
2020-05-06,2020-07-02 17:33:32,1553,357
2020-04-30,2020-07-02 17:33:32,1433,436
2020-06-20,2020-07-02 17:33:32,2084,123
2020-07-01,2020-07-02 17:33:32,1168,61
2020-04-03,2020-07-02 17:33:32,910,512
2020-03-19,2020-07-02 17:33:32,267,32
2020-06-09,2020-07-02 17:33:32,1970,142
2020-05-17,2020-07-02 17:33:32,1174,142
2020-04-21,2020-07-02 17:33:32,923,510
2020-05-28,2020-07-02 17:33:32,2025,207
2020-05-10,2020-07-02 17:33:32,778,123
2020-05-09,2020-07-02 17:33:32,1187,225
2020-06-04,2020-07-02 17:33:32,1345,87
2020-03-30,2020-07-02 17:33:32,463,241
2020-04-26,2020-07-02 17:33:32,623,207
2020-05-15,2020-07-02 17:33:32,1723,264
2020-06-12,2020-07-02 17:33:32,1862,105
2020-03-16,2020-07-02 17:33:32,84,7
2020-03-27,2020-07-02 17:33:32,776,223
2020-06-15,2020-07-02 17:33:32,1832,95
2020-05-03,2020-07-02 17:33:32,635,169
2020-04-08,2020-07-02 17:33:32,923,579
2020-06-05,2020-07-02 17:33:32,1460,119
2020-04-24,2020-07-02 17:33:32,1152,491
2020-03-22,2020-07-02 17:33:32,165,50
2020-06-29,2020-07-02 17:33:32,2101,126
2020-04-04,2020-07-02 17:33:32,822,553
2020-04-29,2020-07-02 17:33:32,1631,523
2020-06-18,2020-07-02 17:33:32,2124,100
2020-04-13,2020-07-02 17:33:32,357,253
2020-03-17,2020-07-02 17:33:32,160,16
2020-05-18,2020-07-02 17:33:32,894,184
2020-05-26,2020-07-02 17:33:32,1778,222
2020-05-04,2020-07-02 17:33:32,816,376
2020-03-31,2020-07-02 17:33:32,742,363
2020-03-12,2020-07-02 17:33:32,21,NA
2020-06-21,2020-07-02 17:33:32,1085,65
2020-06-08,2020-07-02 17:33:32,1402,113
2020-04-25,2020-07-02 17:33:32,859,329
2020-05-21,2020-07-02 17:33:32,2154,319
2020-04-12,2020-07-02 17:33:32,709,418
2020-04-07,2020-07-02 17:33:32,793,513
2020-06-17,2020-07-02 17:33:32,2472,144
2020-04-27,2020-07-02 17:33:32,842,429
2020-03-28,2020-07-02 17:33:32,473,146
2020-06-01,2020-07-02 17:33:32,1250,103
2020-03-13,2020-07-02 17:33:32,47,NA
2020-06-22,2020-07-02 17:33:32,1568,108
2020-05-13,2020-07-02 17:33:32,1495,245
2020-05-29,2020-07-02 17:33:32,1966,205
2020-05-20,2020-07-02 17:33:32,1704,195
2020-03-26,2020-07-02 17:33:32,573,194
2020-03-08,2020-07-02 17:33:32,11,NA
2020-05-23,2020-07-02 17:33:32,1543,196
2020-06-14,2020-07-02 17:33:32,1250,59
2020-04-28,2020-07-02 17:33:32,1145,473
2020-04-17,2020-07-02 17:33:32,1026,600
2020-06-06,2020-07-02 17:33:32,1165,84
2020-04-09,2020-07-02 17:33:32,855,583
2020-03-15,2020-07-02 17:33:32,30,NA
2020-05-08,2020-07-02 17:33:32,1294,358
2020-06-28,2020-07-02 17:33:32,1593,93
2020-03-18,2020-07-02 17:33:32,170,8
2020-06-10,2020-07-02 17:33:32,2128,113
2020-04-05,2020-07-02 17:33:32,662,411
2020-06-13,2020-07-02 17:33:32,1772,99
2020-06-27,2020-07-02 17:33:32,1561,103
2020-05-19,2020-07-02 17:33:32,1501,258
2020-05-27,2020-07-02 17:33:32,1952,190
2020-04-01,2020-07-02 17:33:32,749,421
2020-03-25,2020-07-02 17:33:32,667,171
2020-05-12,2020-07-02 17:33:32,1359,249
2020-03-14,2020-07-02 17:33:32,49,6
2020-04-16,2020-07-02 17:33:32,774,524
2020-06-02,2020-07-02 17:33:32,1525,133
2020-05-22,2020-07-02 17:33:32,1749,204
2020-04-06,2020-07-02 17:33:32,867,554
2020-06-07,2020-07-02 17:33:32,1108,90
2020-05-05,2020-07-02 17:33:32,1263,365
2020-03-11,2020-07-02 17:33:32,12,NA
