zip_code,covid_outcome,count,etl_timestamp
19107,DIED,10,2020-08-25 17:20:01
19132,DIED,37,2020-08-25 17:20:01
19111,DIED,70,2020-08-25 17:20:01
19115,DIED,108,2020-08-25 17:20:01
19136,DIED,66,2020-08-25 17:20:01
19114,DIED,32,2020-08-25 17:20:01
19142,DIED,27,2020-08-25 17:20:01
19147,DIED,13,2020-08-25 17:20:01
19123,DIED,31,2020-08-25 17:20:01
19118,DIED,23,2020-08-25 17:20:01
19129,DIED,6,2020-08-25 17:20:01
19119,DIED,69,2020-08-25 17:20:01
19134,DIED,27,2020-08-25 17:20:01
19152,DIED,68,2020-08-25 17:20:01
19133,DIED,23,2020-08-25 17:20:01
19104,DIED,74,2020-08-25 17:20:01
19146,DIED,32,2020-08-25 17:20:01
19151,DIED,28,2020-08-25 17:20:01
19128,DIED,20,2020-08-25 17:20:01
19148,DIED,51,2020-08-25 17:20:01
19149,DIED,31,2020-08-25 17:20:01
19143,DIED,51,2020-08-25 17:20:01
19150,DIED,24,2020-08-25 17:20:01
19135,DIED,15,2020-08-25 17:20:01
19131,DIED,94,2020-08-25 17:20:01
19154,DIED,29,2020-08-25 17:20:01
19138,DIED,32,2020-08-25 17:20:01
19139,DIED,63,2020-08-25 17:20:01
19130,DIED,19,2020-08-25 17:20:01
19103,DIED,25,2020-08-25 17:20:01
19125,DIED,15,2020-08-25 17:20:01
19141,DIED,41,2020-08-25 17:20:01
19124,DIED,36,2020-08-25 17:20:01
19144,DIED,97,2020-08-25 17:20:01
19122,DIED,18,2020-08-25 17:20:01
19153,DIED,8,2020-08-25 17:20:01
19116,DIED,75,2020-08-25 17:20:01
19140,DIED,56,2020-08-25 17:20:01
19121,DIED,26,2020-08-25 17:20:01
19126,DIED,95,2020-08-25 17:20:01
19120,DIED,32,2020-08-25 17:20:01
19145,DIED,30,2020-08-25 17:20:01
