zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-07 17:20:02,248,1338
19105,2020-09-07 17:20:02,NA,5
19135,2020-09-07 17:20:02,79,605
19116,2020-09-07 17:20:02,121,719
19111,2020-09-07 17:20:02,247,1288
19139,2020-09-07 17:20:02,287,827
19131,2020-09-07 17:20:02,293,907
19136,2020-09-07 17:20:02,151,1051
19120,2020-09-07 17:20:02,289,1440
19125,2020-09-07 17:20:02,77,289
19121,2020-09-07 17:20:02,167,609
19141,2020-09-07 17:20:02,187,557
19107,2020-09-07 17:20:02,62,229
19138,2020-09-07 17:20:02,142,623
19154,2020-09-07 17:20:02,66,629
19145,2020-09-07 17:20:02,157,813
19140,2020-09-07 17:20:02,397,1066
19152,2020-09-07 17:20:02,177,730
19149,2020-09-07 17:20:02,166,1046
19134,2020-09-07 17:20:02,248,910
19147,2020-09-07 17:20:02,71,420
19150,2020-09-07 17:20:02,94,476
19148,2020-09-07 17:20:02,201,893
19123,2020-09-07 17:20:02,89,327
19126,2020-09-07 17:20:02,156,465
19102,2020-09-07 17:20:02,5,68
19129,2020-09-07 17:20:02,25,133
19115,2020-09-07 17:20:02,135,854
19101,2020-09-07 17:20:02,10,29
19118,2020-09-07 17:20:02,49,150
19133,2020-09-07 17:20:02,215,496
19106,2020-09-07 17:20:02,13,106
19128,2020-09-07 17:20:02,48,456
19103,2020-09-07 17:20:02,60,226
19130,2020-09-07 17:20:02,88,368
19151,2020-09-07 17:20:02,149,675
19142,2020-09-07 17:20:02,178,646
19104,2020-09-07 17:20:02,225,581
19144,2020-09-07 17:20:02,260,759
19119,2020-09-07 17:20:02,151,451
19132,2020-09-07 17:20:02,233,595
19153,2020-09-07 17:20:02,53,223
19146,2020-09-07 17:20:02,128,597
19137,2020-09-07 17:20:02,11,98
19114,2020-09-07 17:20:02,95,535
19122,2020-09-07 17:20:02,95,419
19143,2020-09-07 17:20:02,326,1183
19127,2020-09-07 17:20:02,NA,55
