zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-23 17:20:02,462,154
19132,2020-09-23 17:20:02,606,235
19146,2020-09-23 17:20:02,618,133
19137,2020-09-23 17:20:02,105,11
19114,2020-09-23 17:20:02,571,96
19153,2020-09-23 17:20:02,227,54
19115,2020-09-23 17:20:02,897,136
19104,2020-09-23 17:20:02,620,229
19138,2020-09-23 17:20:02,640,154
19122,2020-09-23 17:20:02,430,98
19149,2020-09-23 17:20:02,1085,171
19123,2020-09-23 17:20:02,338,87
19101,2020-09-23 17:20:02,28,10
19130,2020-09-23 17:20:02,400,92
19143,2020-09-23 17:20:02,1214,330
19125,2020-09-23 17:20:02,304,78
19154,2020-09-23 17:20:02,665,67
19151,2020-09-23 17:20:02,700,147
19106,2020-09-23 17:20:02,112,13
19111,2020-09-23 17:20:02,1351,252
19147,2020-09-23 17:20:02,436,73
19144,2020-09-23 17:20:02,792,263
19126,2020-09-23 17:20:02,467,158
19121,2020-09-23 17:20:02,702,168
19118,2020-09-23 17:20:02,156,52
19133,2020-09-23 17:20:02,522,222
19128,2020-09-23 17:20:02,469,49
19103,2020-09-23 17:20:02,238,61
19127,2020-09-23 17:20:02,62,NA
19145,2020-09-23 17:20:02,841,159
19142,2020-09-23 17:20:02,664,177
19124,2020-09-23 17:20:02,1384,256
19105,2020-09-23 17:20:02,5,NA
19135,2020-09-23 17:20:02,640,83
19116,2020-09-23 17:20:02,768,123
19139,2020-09-23 17:20:02,847,288
19131,2020-09-23 17:20:02,933,298
19136,2020-09-23 17:20:02,1077,156
19120,2020-09-23 17:20:02,1475,300
19141,2020-09-23 17:20:02,574,193
19107,2020-09-23 17:20:02,238,59
19140,2020-09-23 17:20:02,1107,411
19152,2020-09-23 17:20:02,787,191
19134,2020-09-23 17:20:02,948,256
19150,2020-09-23 17:20:02,485,95
19148,2020-09-23 17:20:02,918,206
19102,2020-09-23 17:20:02,73,5
19129,2020-09-23 17:20:02,138,25
