zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-30 17:20:02,256,1441
19105,2020-09-30 17:20:02,NA,5
19135,2020-09-30 17:20:02,83,670
19116,2020-09-30 17:20:02,124,802
19111,2020-09-30 17:20:02,252,1420
19139,2020-09-30 17:20:02,291,862
19131,2020-09-30 17:20:02,298,962
19136,2020-09-30 17:20:02,156,1112
19120,2020-09-30 17:20:02,301,1521
19125,2020-09-30 17:20:02,77,326
19121,2020-09-30 17:20:02,170,754
19141,2020-09-30 17:20:02,195,593
19107,2020-09-30 17:20:02,59,249
19138,2020-09-30 17:20:02,155,665
19154,2020-09-30 17:20:02,66,702
19145,2020-09-30 17:20:02,162,865
19140,2020-09-30 17:20:02,414,1139
19152,2020-09-30 17:20:02,192,831
19149,2020-09-30 17:20:02,171,1142
19134,2020-09-30 17:20:02,259,1000
19147,2020-09-30 17:20:02,74,456
19150,2020-09-30 17:20:02,96,498
19148,2020-09-30 17:20:02,212,947
19123,2020-09-30 17:20:02,87,353
19126,2020-09-30 17:20:02,165,477
19102,2020-09-30 17:20:02,5,75
19129,2020-09-30 17:20:02,26,148
19115,2020-09-30 17:20:02,139,928
19118,2020-09-30 17:20:02,52,159
19133,2020-09-30 17:20:02,222,555
19106,2020-09-30 17:20:02,14,115
19128,2020-09-30 17:20:02,49,501
19103,2020-09-30 17:20:02,61,259
19130,2020-09-30 17:20:02,93,424
19151,2020-09-30 17:20:02,151,708
19142,2020-09-30 17:20:02,179,680
19104,2020-09-30 17:20:02,233,648
19144,2020-09-30 17:20:02,263,810
19119,2020-09-30 17:20:02,154,470
19132,2020-09-30 17:20:02,237,615
19153,2020-09-30 17:20:02,54,238
19101,2020-09-30 17:20:02,10,29
19146,2020-09-30 17:20:02,133,635
19137,2020-09-30 17:20:02,11,109
19114,2020-09-30 17:20:02,97,589
19122,2020-09-30 17:20:02,98,483
19143,2020-09-30 17:20:02,338,1243
19127,2020-09-30 17:20:02,NA,68
