zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-15 17:20:02,250,1360
19105,2020-09-15 17:20:02,NA,5
19135,2020-09-15 17:20:02,82,613
19116,2020-09-15 17:20:02,122,741
19111,2020-09-15 17:20:02,247,1319
19139,2020-09-15 17:20:02,289,835
19131,2020-09-15 17:20:02,294,925
19136,2020-09-15 17:20:02,152,1064
19120,2020-09-15 17:20:02,297,1454
19125,2020-09-15 17:20:02,76,298
19121,2020-09-15 17:20:02,168,682
19141,2020-09-15 17:20:02,190,570
19107,2020-09-15 17:20:02,61,234
19138,2020-09-15 17:20:02,147,633
19154,2020-09-15 17:20:02,66,645
19145,2020-09-15 17:20:02,159,822
19140,2020-09-15 17:20:02,400,1088
19152,2020-09-15 17:20:02,190,753
19149,2020-09-15 17:20:02,167,1060
19134,2020-09-15 17:20:02,250,930
19147,2020-09-15 17:20:02,71,430
19150,2020-09-15 17:20:02,94,484
19148,2020-09-15 17:20:02,203,909
19123,2020-09-15 17:20:02,88,333
19126,2020-09-15 17:20:02,157,465
19102,2020-09-15 17:20:02,5,71
19129,2020-09-15 17:20:02,25,135
19115,2020-09-15 17:20:02,134,871
19118,2020-09-15 17:20:02,50,154
19133,2020-09-15 17:20:02,215,509
19106,2020-09-15 17:20:02,13,111
19128,2020-09-15 17:20:02,48,460
19103,2020-09-15 17:20:02,61,231
19130,2020-09-15 17:20:02,89,403
19151,2020-09-15 17:20:02,150,684
19142,2020-09-15 17:20:02,178,654
19104,2020-09-15 17:20:02,226,592
19144,2020-09-15 17:20:02,262,778
19119,2020-09-15 17:20:02,153,459
19132,2020-09-15 17:20:02,230,602
19153,2020-09-15 17:20:02,53,225
19101,2020-09-15 17:20:02,10,29
19146,2020-09-15 17:20:02,129,608
19137,2020-09-15 17:20:02,11,101
19114,2020-09-15 17:20:02,95,550
19122,2020-09-15 17:20:02,95,417
19143,2020-09-15 17:20:02,328,1200
19127,2020-09-15 17:20:02,NA,58
