zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-21 17:20:03,460,154
19132,2020-09-21 17:20:03,606,235
19146,2020-09-21 17:20:03,613,131
19137,2020-09-21 17:20:03,104,11
19114,2020-09-21 17:20:03,563,96
19153,2020-09-21 17:20:03,224,54
19115,2020-09-21 17:20:03,891,135
19104,2020-09-21 17:20:03,612,229
19138,2020-09-21 17:20:03,639,153
19122,2020-09-21 17:20:03,429,97
19149,2020-09-21 17:20:03,1081,170
19123,2020-09-21 17:20:03,338,87
19101,2020-09-21 17:20:03,28,10
19130,2020-09-21 17:20:03,401,90
19143,2020-09-21 17:20:03,1213,329
19125,2020-09-21 17:20:03,303,78
19154,2020-09-21 17:20:03,659,67
19151,2020-09-21 17:20:03,696,150
19106,2020-09-21 17:20:03,112,13
19111,2020-09-21 17:20:03,1339,249
19147,2020-09-21 17:20:03,434,73
19144,2020-09-21 17:20:03,788,262
19126,2020-09-21 17:20:03,467,158
19121,2020-09-21 17:20:03,700,168
19118,2020-09-21 17:20:03,156,52
19133,2020-09-21 17:20:03,521,217
19128,2020-09-21 17:20:03,466,48
19103,2020-09-21 17:20:03,238,61
19127,2020-09-21 17:20:03,62,NA
19145,2020-09-21 17:20:03,831,161
19142,2020-09-21 17:20:03,660,178
19124,2020-09-21 17:20:03,1377,251
19105,2020-09-21 17:20:03,5,NA
19135,2020-09-21 17:20:03,630,83
19116,2020-09-21 17:20:03,759,122
19139,2020-09-21 17:20:03,842,289
19131,2020-09-21 17:20:03,935,297
19136,2020-09-21 17:20:03,1072,155
19120,2020-09-21 17:20:03,1470,299
19141,2020-09-21 17:20:03,573,193
19107,2020-09-21 17:20:03,234,61
19140,2020-09-21 17:20:03,1109,403
19152,2020-09-21 17:20:03,777,191
19134,2020-09-21 17:20:03,943,255
19150,2020-09-21 17:20:03,484,95
19148,2020-09-21 17:20:03,914,207
19102,2020-09-21 17:20:03,72,5
19129,2020-09-21 17:20:03,138,25
