zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-11 17:20:02,454,153
19132,2020-09-11 17:20:02,597,232
19146,2020-09-11 17:20:02,605,128
19137,2020-09-11 17:20:02,101,11
19114,2020-09-11 17:20:02,541,96
19153,2020-09-11 17:20:02,223,53
19115,2020-09-11 17:20:02,864,135
19104,2020-09-11 17:20:02,582,225
19138,2020-09-11 17:20:02,624,147
19122,2020-09-11 17:20:02,399,95
19149,2020-09-11 17:20:02,1049,166
19123,2020-09-11 17:20:02,330,88
19101,2020-09-11 17:20:02,28,10
19130,2020-09-11 17:20:02,398,89
19143,2020-09-11 17:20:02,1190,327
19125,2020-09-11 17:20:02,292,77
19154,2020-09-11 17:20:02,639,66
19151,2020-09-11 17:20:02,678,149
19106,2020-09-11 17:20:02,109,13
19111,2020-09-11 17:20:02,1302,247
19147,2020-09-11 17:20:02,425,71
19144,2020-09-11 17:20:02,767,262
19126,2020-09-11 17:20:02,464,157
19121,2020-09-11 17:20:02,655,168
19118,2020-09-11 17:20:02,151,50
19133,2020-09-11 17:20:02,500,215
19128,2020-09-11 17:20:02,457,48
19103,2020-09-11 17:20:02,225,60
19127,2020-09-11 17:20:02,55,NA
19145,2020-09-11 17:20:02,817,158
19142,2020-09-11 17:20:02,650,178
19124,2020-09-11 17:20:02,1349,250
19105,2020-09-11 17:20:02,5,NA
19135,2020-09-11 17:20:02,608,82
19116,2020-09-11 17:20:02,729,121
19139,2020-09-11 17:20:02,829,289
19131,2020-09-11 17:20:02,918,293
19136,2020-09-11 17:20:02,1056,151
19120,2020-09-11 17:20:02,1444,297
19141,2020-09-11 17:20:02,556,190
19107,2020-09-11 17:20:02,232,62
19140,2020-09-11 17:20:02,1076,400
19152,2020-09-11 17:20:02,737,180
19134,2020-09-11 17:20:02,918,249
19150,2020-09-11 17:20:02,479,94
19148,2020-09-11 17:20:02,903,201
19102,2020-09-11 17:20:02,68,5
19129,2020-09-11 17:20:02,135,25
