zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-12 17:20:02,250,1351
19105,2020-09-12 17:20:02,NA,5
19135,2020-09-12 17:20:02,82,609
19116,2020-09-12 17:20:02,121,731
19111,2020-09-12 17:20:02,247,1310
19139,2020-09-12 17:20:02,288,832
19131,2020-09-12 17:20:02,293,924
19136,2020-09-12 17:20:02,151,1056
19120,2020-09-12 17:20:02,297,1445
19125,2020-09-12 17:20:02,77,293
19121,2020-09-12 17:20:02,168,664
19141,2020-09-12 17:20:02,190,562
19107,2020-09-12 17:20:02,62,232
19138,2020-09-12 17:20:02,147,626
19154,2020-09-12 17:20:02,66,642
19145,2020-09-12 17:20:02,158,817
19140,2020-09-12 17:20:02,400,1079
19152,2020-09-12 17:20:02,180,744
19149,2020-09-12 17:20:02,166,1052
19134,2020-09-12 17:20:02,249,920
19147,2020-09-12 17:20:02,71,426
19150,2020-09-12 17:20:02,94,481
19148,2020-09-12 17:20:02,201,907
19123,2020-09-12 17:20:02,88,332
19126,2020-09-12 17:20:02,157,464
19102,2020-09-12 17:20:02,5,68
19129,2020-09-12 17:20:02,25,135
19115,2020-09-12 17:20:02,135,867
19118,2020-09-12 17:20:02,50,153
19133,2020-09-12 17:20:02,215,504
19106,2020-09-12 17:20:02,13,110
19128,2020-09-12 17:20:02,48,459
19103,2020-09-12 17:20:02,60,227
19130,2020-09-12 17:20:02,89,402
19151,2020-09-12 17:20:02,149,679
19142,2020-09-12 17:20:02,178,651
19104,2020-09-12 17:20:02,226,584
19144,2020-09-12 17:20:02,262,772
19119,2020-09-12 17:20:02,153,458
19132,2020-09-12 17:20:02,232,598
19153,2020-09-12 17:20:02,53,223
19101,2020-09-12 17:20:02,10,28
19146,2020-09-12 17:20:02,128,605
19137,2020-09-12 17:20:02,11,101
19114,2020-09-12 17:20:02,96,541
19122,2020-09-12 17:20:02,95,401
19143,2020-09-12 17:20:02,327,1195
19127,2020-09-12 17:20:02,NA,56
