zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-22 17:20:03,255,1380
19105,2020-09-22 17:20:03,NA,5
19135,2020-09-22 17:20:03,83,635
19116,2020-09-22 17:20:03,122,762
19111,2020-09-22 17:20:03,252,1341
19139,2020-09-22 17:20:03,289,845
19131,2020-09-22 17:20:03,299,932
19136,2020-09-22 17:20:03,156,1075
19120,2020-09-22 17:20:03,299,1473
19125,2020-09-22 17:20:03,78,304
19121,2020-09-22 17:20:03,168,700
19141,2020-09-22 17:20:03,194,572
19107,2020-09-22 17:20:03,61,235
19138,2020-09-22 17:20:03,154,638
19154,2020-09-22 17:20:03,67,663
19145,2020-09-22 17:20:03,161,833
19140,2020-09-22 17:20:03,411,1104
19152,2020-09-22 17:20:03,191,778
19149,2020-09-22 17:20:03,171,1082
19134,2020-09-22 17:20:03,257,943
19147,2020-09-22 17:20:03,73,435
19150,2020-09-22 17:20:03,95,485
19148,2020-09-22 17:20:03,207,915
19123,2020-09-22 17:20:03,87,338
19126,2020-09-22 17:20:03,158,467
19102,2020-09-22 17:20:03,5,72
19129,2020-09-22 17:20:03,25,138
19115,2020-09-22 17:20:03,136,892
19118,2020-09-22 17:20:03,52,156
19133,2020-09-22 17:20:03,222,516
19106,2020-09-22 17:20:03,13,112
19128,2020-09-22 17:20:03,49,469
19103,2020-09-22 17:20:03,61,238
19130,2020-09-22 17:20:03,90,402
19151,2020-09-22 17:20:03,150,697
19142,2020-09-22 17:20:03,178,661
19104,2020-09-22 17:20:03,229,616
19144,2020-09-22 17:20:03,263,790
19119,2020-09-22 17:20:03,154,462
19132,2020-09-22 17:20:03,235,606
19153,2020-09-22 17:20:03,54,224
19101,2020-09-22 17:20:03,10,28
19146,2020-09-22 17:20:03,132,615
19137,2020-09-22 17:20:03,11,105
19114,2020-09-22 17:20:03,96,564
19122,2020-09-22 17:20:03,98,430
19143,2020-09-22 17:20:03,330,1214
19127,2020-09-22 17:20:03,NA,62
