zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-08-15 17:20:01,430,149
19132,2020-08-15 17:20:01,565,231
19146,2020-08-15 17:20:01,572,126
19137,2020-08-15 17:20:01,87,10
19114,2020-08-15 17:20:01,503,88
19153,2020-08-15 17:20:01,216,51
19115,2020-08-15 17:20:01,794,131
19104,2020-08-15 17:20:01,551,220
19138,2020-08-15 17:20:01,584,136
19122,2020-08-15 17:20:01,301,93
19149,2020-08-15 17:20:01,935,160
19123,2020-08-15 17:20:01,319,85
19101,2020-08-15 17:20:01,23,10
19130,2020-08-15 17:20:01,308,89
19143,2020-08-15 17:20:01,1131,315
19125,2020-08-15 17:20:01,253,77
19154,2020-08-15 17:20:01,589,57
19151,2020-08-15 17:20:01,629,146
19106,2020-08-15 17:20:01,98,13
19111,2020-08-15 17:20:01,1155,244
19147,2020-08-15 17:20:01,398,70
19144,2020-08-15 17:20:01,734,257
19126,2020-08-15 17:20:01,444,156
19121,2020-08-15 17:20:01,465,163
19118,2020-08-15 17:20:01,138,48
19133,2020-08-15 17:20:01,423,209
19128,2020-08-15 17:20:01,394,47
19103,2020-08-15 17:20:01,214,58
19127,2020-08-15 17:20:01,46,NA
19145,2020-08-15 17:20:01,739,150
19142,2020-08-15 17:20:01,602,175
19124,2020-08-15 17:20:01,1200,242
19105,2020-08-15 17:20:01,5,NA
19135,2020-08-15 17:20:01,537,78
19116,2020-08-15 17:20:01,645,120
19139,2020-08-15 17:20:01,800,284
19131,2020-08-15 17:20:01,853,287
19136,2020-08-15 17:20:01,982,144
19120,2020-08-15 17:20:01,1329,279
19141,2020-08-15 17:20:01,521,186
19107,2020-08-15 17:20:01,214,60
19140,2020-08-15 17:20:01,936,380
19152,2020-08-15 17:20:01,664,163
19134,2020-08-15 17:20:01,822,230
19150,2020-08-15 17:20:01,456,91
19148,2020-08-15 17:20:01,851,196
19102,2020-08-15 17:20:01,64,5
19129,2020-08-15 17:20:01,120,25
