age,count,etl_timestamp
20-34,8121,2020-08-03 17:20:02
55-74,7881,2020-08-03 17:20:02
75+,3270,2020-08-03 17:20:02
<20,1809,2020-08-03 17:20:02
35-54,9568,2020-08-03 17:20:02
