age,count,etl_timestamp
20-34,9594,2020-09-07 17:20:02
55-74,8547,2020-09-07 17:20:02
75+,3454,2020-09-07 17:20:02
<20,2431,2020-09-07 17:20:02
35-54,10654,2020-09-07 17:20:02
