age,count,etl_timestamp
20-34,5896,2020-06-17 17:20:02
55-74,6935,2020-06-17 17:20:02
75+,3015,2020-06-17 17:20:02
<20,990,2020-06-17 17:20:02
35-54,7810,2020-06-17 17:20:02
