age,count,etl_timestamp
20-34,5764,2020-06-12 17:20:01
55-74,6840,2020-06-12 17:20:01
75+,2983,2020-06-12 17:20:01
<20,944,2020-06-12 17:20:01
35-54,7688,2020-06-12 17:20:01
