age,count,etl_timestamp
20-34,9092,2020-08-28 17:20:02
55-74,8391,2020-08-28 17:20:02
75+,3402,2020-08-28 17:20:02
<20,2183,2020-08-28 17:20:02
35-54,10410,2020-08-28 17:20:02
