racial_identity,count,etl_timestamp
NA,98,2020-09-18 17:20:01
Asian,60,2020-09-18 17:20:01
UNKNOWN,31,2020-09-18 17:20:01
AFRICAN AMERICAN,889,2020-09-18 17:20:01
Other,48,2020-09-18 17:20:01
HISPANIC,160,2020-09-18 17:20:01
White,495,2020-09-18 17:20:01
