racial_identity,count,etl_timestamp
NA,92,2020-08-19 17:20:02
Asian,60,2020-08-19 17:20:02
UNKNOWN,31,2020-08-19 17:20:02
AFRICAN AMERICAN,870,2020-08-19 17:20:02
Other,46,2020-08-19 17:20:02
HISPANIC,153,2020-08-19 17:20:02
White,480,2020-08-19 17:20:02
