racial_identity,count,etl_timestamp
NA,89,2020-09-04 17:20:02
Asian,60,2020-09-04 17:20:02
UNKNOWN,31,2020-09-04 17:20:02
AFRICAN AMERICAN,882,2020-09-04 17:20:02
Other,47,2020-09-04 17:20:02
HISPANIC,159,2020-09-04 17:20:02
White,488,2020-09-04 17:20:02
