racial_identity,count,etl_timestamp
NA,89,2020-08-29 17:20:02
Asian,60,2020-08-29 17:20:02
UNKNOWN,30,2020-08-29 17:20:02
AFRICAN AMERICAN,876,2020-08-29 17:20:02
Other,47,2020-08-29 17:20:02
HISPANIC,157,2020-08-29 17:20:02
White,487,2020-08-29 17:20:02
