racial_identity,count,etl_timestamp
NA,92,2020-08-22 17:20:01
Asian,60,2020-08-22 17:20:01
UNKNOWN,31,2020-08-22 17:20:01
AFRICAN AMERICAN,871,2020-08-22 17:20:01
Other,46,2020-08-22 17:20:01
HISPANIC,154,2020-08-22 17:20:01
White,479,2020-08-22 17:20:01
