age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-30 17:20:02,123,2708
75+,2020-09-30 17:20:02,1621,1923
55-74,2020-09-30 17:20:02,2792,6162
35-54,2020-09-30 17:20:02,1637,9621
20-34,2020-09-30 17:20:02,761,9857
