age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-17 17:20:01,115,1921
75+,2020-08-17 17:20:01,1530,1811
55-74,2020-08-17 17:20:01,2676,5503
35-54,2020-08-17 17:20:01,1520,8560
20-34,2020-08-17 17:20:01,693,8002
