age,etl_timestamp,NO_UNKNOWN,Yes
20-34,2020-09-29 17:20:02,9798,760
55-74,2020-09-29 17:20:02,6134,2790
75+,2020-09-29 17:20:02,1917,1621
35-54,2020-09-29 17:20:02,9590,1633
<20,2020-09-29 17:20:02,2680,123
