age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-22 17:20:03,123,2509
75+,2020-09-22 17:20:03,1611,1896
55-74,2020-09-22 17:20:03,2775,5972
35-54,2020-09-22 17:20:03,1619,9301
20-34,2020-09-22 17:20:03,752,9321
