age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-20 17:20:02,115,1962
75+,2020-08-20 17:20:02,1529,1831
55-74,2020-08-20 17:20:02,2679,5554
35-54,2020-08-20 17:20:02,1522,8665
20-34,2020-08-20 17:20:02,697,8103
