age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-29 17:20:02,118,2083
75+,2020-08-29 17:20:02,1555,1848
55-74,2020-08-29 17:20:02,2701,5704
35-54,2020-08-29 17:20:02,1553,8883
20-34,2020-08-29 17:20:02,712,8433
