age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-25 17:20:01,116,2015
75+,2020-08-25 17:20:01,1540,1847
55-74,2020-08-25 17:20:01,2690,5640
35-54,2020-08-25 17:20:01,1530,8784
20-34,2020-08-25 17:20:01,700,8260
