age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-08-22 17:20:01,116,1994
75+,2020-08-22 17:20:01,1538,1835
55-74,2020-08-22 17:20:01,2686,5602
35-54,2020-08-22 17:20:01,1527,8733
20-34,2020-08-22 17:20:01,700,8188
